"season","position","height_wo_shoes","weight","wingspan","standing_reach","max_vertical_leap","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap.1","lane_agility_time","three_quarter_sprint","bench_press"
2005,5,83,250.6,87,110.5,33.5,NA,NA,NA,27.5,33.5,12.06,3.51,13
2005,4,83,250.6,87,110.5,33.5,NA,NA,NA,27.5,33.5,12.06,3.51,13
2005,4,79,228.2,87.5,108,35,NA,NA,NA,29.5,35,11.11,3.17,12
2005,3,79,228.2,87.5,108,35,NA,NA,NA,29.5,35,11.11,3.17,12
2005,1,71.75,178,76.25,93,38,NA,NA,NA,32,38,11.09,3.22,10
2005,1,71.5,199.4,76.25,98,33.5,NA,NA,NA,29,33.5,10.5,3.06,6
2005,3,78,229.6,83,106,30.5,NA,NA,NA,28,30.5,11.39,3.39,7
2005,4,81,236.6,84.25,109,31,NA,NA,NA,26,31,10.86,3.3,11
2005,3,81,236.6,84.25,109,31,NA,NA,NA,26,31,10.86,3.3,11
2005,4,81.5,243.6,86.5,110.5,31,NA,NA,NA,27.5,31,11.6,3.38,19
2005,5,81.5,243.6,86.5,110.5,31,NA,NA,NA,27.5,31,11.6,3.38,19
2005,4,78.5,255.4,87.5,109,31,NA,NA,NA,28,31,11.94,3.45,21
2005,1,73.75,202.4,78.25,98,35,NA,NA,NA,30,35,10.83,3.25,15
2005,4,79,258.8,85.25,105,33,NA,NA,NA,30,33,11.04,3.29,12
2005,2,74.75,201,82.75,103.5,34.5,NA,NA,NA,32.5,34.5,10.39,3.11,15
2005,3,77.25,202.6,80.75,104.5,29.5,NA,NA,NA,26.5,29.5,11.45,3.41,12
2005,2,77.25,202.6,80.75,104.5,29.5,NA,NA,NA,26.5,29.5,11.45,3.41,12
2005,3,77.25,216.6,80,104,36,NA,NA,NA,30,36,10.62,3.05,26
2005,3,78,192,81.75,104,39,NA,NA,NA,31.5,39,11.2,3.21,7
2005,4,79.25,215,86,108,38,NA,NA,NA,33,38,NA,3.22,11
2005,3,79.25,215,86,108,38,NA,NA,NA,33,38,NA,3.22,11
2005,2,78,202.2,84.5,107.5,29,NA,NA,NA,24.5,29,10.89,3.18,14
2005,3,78,202.2,84.5,107.5,29,NA,NA,NA,24.5,29,10.89,3.18,14
2005,1,74.5,197.6,79.5,100,28.5,NA,NA,NA,26,28.5,10.87,3.24,5
2005,3,77.75,189.6,82.75,103,31.5,NA,NA,NA,27.5,31.5,10.63,3.33,5
