"player_id","season","first_name","last_name","player_name.x","position","height_wo_shoes","height_wo_shoes_ft_in","height_w_shoes","height_w_shoes_ft_in","weight","wingspan","wingspan_ft_in","standing_reach","standing_reach_ft_in","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap","lane_agility_time","modified_lane_agility_time","three_quarter_sprint","bench_press","player_name.y","round_number","round_pick","overall_pick","draft_type","team_id","team_city","team_name","team_abbreviation","organization","organization_type","player_profile_flag"
101106,2005,"Andrew","Bogut","Andrew Bogut","C-PF",83,"6' 11''",84.25,"7' 0.25''",250.6,87,"7' 3''",110.5,"9' 2.5''",NA,NA,NA,27.5,33.5,12.06,NA,3.51,13,"Andrew Bogut",1,1,1,"Draft",1610612749,"Milwaukee","Bucks","MIL","Utah","College/University",1
101107,2005,"Marvin","Williams","Marvin Williams","PF-SF",79,"6' 7''",80.25,"6' 8.25''",228.2,87.5,"7' 3.5''",108,"9' 0''",NA,NA,NA,29.5,35,11.11,NA,3.17,12,"Marvin Williams",1,2,2,"Draft",1610612737,"Atlanta","Hawks","ATL","North Carolina","College/University",1
101108,2005,"Chris","Paul","Chris Paul","PG",71.75,"5' 11.75''",73,"6' 1''",178,76.25,"6' 4.25''",93,"7' 9''",NA,NA,NA,32,38,11.09,NA,3.22,10,"Chris Paul",1,4,4,"Draft",1610612740,"New Orleans/Oklahoma City","Hornets","NOK","Wake Forest","College/University",1
101109,2005,"Raymond","Felton","Raymond Felton","PG",71.5,"5' 11.5''",72.25,"6' 0.25''",199.4,76.25,"6' 4.25''",98,"8' 2''",NA,NA,NA,29,33.5,10.5,NA,3.06,6,"Raymond Felton",1,5,5,"Draft",1610612766,"Charlotte","Bobcats","CHA","North Carolina","College/University",1
101110,2005,"Martell","Webster","Martell Webster","SF",78,"6' 6''",79.5,"6' 7.5''",229.6,83,"6' 11''",106,"8' 10''",NA,NA,NA,28,30.5,11.39,NA,3.39,7,"Martell Webster",1,6,6,"Draft",1610612757,"Portland","Trail Blazers","POR","Seattle Preparatory School","High School",1
101111,2005,"Charlie","Villanueva","Charlie Villanueva","PF-SF",81,"6' 9''",81.5,"6' 9.5''",236.6,84.25,"7' 0.25''",109,"9' 1''",NA,NA,NA,26,31,10.86,NA,3.3,11,"Charlie Villanueva",1,7,7,"Draft",1610612761,"Toronto","Raptors","TOR","Connecticut","College/University",1
101112,2005,"Channing","Frye","Channing Frye","PF-C",81.5,"6' 9.5''",82.5,"6' 10.5''",243.6,86.5,"7' 2.5''",110.5,"9' 2.5''",NA,NA,NA,27.5,31,11.6,NA,3.38,19,"Channing Frye",1,8,8,"Draft",1610612752,"New York","Knicks","NYK","Arizona","College/University",1
101113,2005,"Ike","Diogu","Ike Diogu","PF",78.5,"6' 6.5''",80,"6' 8''",255.4,87.5,"7' 3.5''",109,"9' 1''",NA,NA,NA,28,31,11.94,NA,3.45,21,"Ike Diogu",1,9,9,"Draft",1610612744,"Golden State","Warriors","GSW","Arizona State","College/University",1
101114,2005,"Deron","Williams","Deron Williams","PG",73.75,"6' 1.75''",74.75,"6' 2.75''",202.4,78.25,"6' 6.25''",98,"8' 2''",NA,NA,NA,30,35,10.83,NA,3.25,15,"Deron Williams",1,3,3,"Draft",1610612762,"Utah","Jazz","UTA","Illinois","College/University",1
101118,2005,"Sean","May","Sean May","PF",79,"6' 7''",80.5,"6' 8.5''",258.8,85.25,"7' 1.25''",105,"8' 9''",NA,NA,NA,30,33,11.04,NA,3.29,12,"Sean May",1,13,13,"Draft",1610612766,"Charlotte","Bobcats","CHA","North Carolina","College/University",1
